ATC-Code,,ATC-Bedeutung,,DDD-Info
A,,,,
J05AF06,,Abacavir,,"0,6 g O"
H05AA04,,Abaloparatid,,
P03AX07,,Abametapir,,
L02BX01,,Abarelix,,"3,6 mg P"
L04AA24,,Abatacept,,27 mg P
B01AC13,,Abciximab,,25 mg P
L01EF03,,Abemaciclib,,"0,3 g O "
L04AA22,,Abetimus,,
S01LA07,,Abicipar pegol,,
L02BX03,,Abirateron,,1 g O bezogen auf Abirateronacetat
D11AH08,,Abrocitinib,,
B02BC01,,Absorbierbarer Gelatineschwamm,,Standarddosis: 1 DE T 
C01EB13,,Acadesin,,
L01EL02,,Acalabrutinib,,"0,2 g O "
N07BB03,,Acamprosat,,2 g O
A10BF01,,Acarbose,,"0,3 g O"
C07AB04,,Acebutolol,,"0,4 g O,P"
C07CB04,,Acebutolol und andere Diuretika,,Standarddosis: 1 DE O 
C07FB26,,Acebutolol und Nifedipin,,Standarddosis: 1 DE O 
C07BB04,,Acebutolol und Thiazide,,
S01EB08,,Aceclidin,,
S01EB58,,"Aceclidin, Kombinationen",,
M01AB16,,Aceclofenac,,"0,2 g O"
M02AA25,,Aceclofenac,,
R03DA09,,Acefyllinpiperazin,,
M01AB11,,Acemetacin,,"0,12 g O"
M09AX05,,Aceneuraminsäure,,
B01AA07,,Acenocoumarol,,5 mg O
N05AA04,,Acepromazin,,"0,1 g O; 50 mg P"
A07AX02,,Acetarsol,,
G01AB01,,Acetarsol,,"0,5 g V"
P01CD02,,Acetarsol,,
S01EC01,,Acetazolamid,,"0,75 g O,P"
A11DA07,,Acethiamin,,
A10BB31,,Acetohexamid,,"0,5 g O"
G04BX03,,Acetohydroxamsäure,,"0,75 g O"
N05AB07,,Acetophenazin,,50 mg O
A02BX09,,Acetoxolon,,
V08AA07,,Acetrizoinsäure,,
R02AA33,,Acetylaminonitropropoxybenzol,,
N06BX12,,Acetylcarnitin,,
N07AB03,,Acetylcholin,,
S01EB09,,Acetylcholin,,
R05CB01,,Acetylcystein,,"1,6 g Inhal.lösung; 0,5 g O; 0,5 g P "
S01XA08,,Acetylcystein,,
V03AB23,,Acetylcystein,,
C01AA01,,Acetyldigitoxin,,"0,2 mg O"
C01AA02,,Acetyldigoxin,,"0,5 mg O"
C01AA52,,"Acetyldigoxin, Kombinationen",,
R05DA12,,Acetyldihydrocodein,,30 mg O
N05CC03,,Acetylglycinamidchloralhydrat,,"1,7 g O"
N07CA04,,Acetylleucin,,
A01AD05,,Acetylsalicylsäure,,
B01AC06,,Acetylsalicylsäure,,1 Tablette O (unabhängig von der Wirkstärke)
N02BA01,,Acetylsalicylsäure,,"3 g O,R; 1 g P bezogen auf Lysinacetylsalicylat; 0,3 g O Kinder DDD "
R05XA02,,"Acetylsalicylsäure, Kombinationen",,
N02BA51,,"Acetylsalicylsäure, Kombinationen exkl. Psycholeptika",,3 g O bezogen auf Acetylsalicylsäure 
B01AC56,,"Acetylsalicylsäure, Kombinationen mit Protonenpumpenhemmern",,
N02BA71,,"Acetylsalicylsäure, Kombinationen mit Psycholeptika",,
M01BA03,,Acetylsalicylsäure und Corticosteroide,,
B01AC86,,Acetylsalicylsäure und Esomeprazol,,Standarddosis: 1 DE O 
R05XA22,,Acetylsalicylsäure und Pseudoephedrin,,
D06BB03,,Aciclovir,,25 mg T für 5%-ige Zubereitungen 
J05AB01,,Aciclovir,,"4 g O,P"
S01AD03,,Aciclovir,,"4,65 mg AS "
D06BB53,,"Aciclovir, Kombinationen",,
C10AD06,,Acipimox,,"0,5 g O"
D05BB02,,Acitretin,,35 mg O
L01DB04,,Aclarubicin,,
R03BB05,,Aclidiniumbromid,,"0,644 mg Inhal.pulver bezogen auf Aclidinium 
(aus dem Mundstück abgegebene Dosis)"
M02AP03,,Acmella ciliata,,
N02BH01,,Aconitum,,
R02AA13,,Acriflaviniumchlorid,,
R06AX18,,Acrivastin,,24 mg O
L04AB04,,Adalimumab,,"2,9 mg P; 1,6 mg P Kinder DDD "
D10AD03,,Adapalen,,1 mg T 
D10AD53,,"Adapalen, Kombinationen",,
D10AD23,,Adapalen und Benzoylperoxid,,
J05AF08,,Adefovirdipivoxil,,10 mg O
A16AA02,,Ademetionin,,
M09AX18,,Ademetionin,,
C01EB10,,Adenosin,,15 mg P
N05BA07,,Adinazolam,,
V08AC04,,Adipiodon,,
N06BX17,,Adrafinil,,
A01AD06,,Adrenalon,,
B02BC05,,Adrenalon,,
C01CA50,,"Adrenerge und dopaminerge Mittel, Kombinationen",,
C05BZ09,,Aescin,,
C05CA07,,Aescin,,"0,1 g O "
C05BZ59,,"Aescin, Kombinationen",,
C05CA57,,"Aescin, Kombinationen",,
D02BB02,,Afamelanotid,,"0,00822 DE Implantat "
L01EB03,,Afatinib,,40 mg O 
L04AB03,,Afelimomab,,
L01XX44,,Aflibercept,,20 mg P 
S01LA05,,Aflibercept,,"0,018 DE IVT "
A16AB03,,Agalsidase alfa,,1 mg P
