,RXCUI,ATC
0,25120,R01AD04
1,25120,R03BA03
2,1648183,N06BA04
3,860901,N06DA04
4,815781,R06AB04
5,815781,C01CA06
6,815781,R01AA04
7,815781,R01AB01
8,815781,R01BA03
9,815781,S01FB01
10,815781,S01GA05
11,815781,A04AD01
12,815781,N05CM05
13,815781,S01FA02
14,1537107,D03AX05
15,1537107,M09AX01
16,1537107,R01AX09
17,1537107,S01KA01
18,1486983,A06AA02
19,1047511,R07AB01
20,672535,C01CA06
21,672535,R01AA04
22,672535,R01AB01
23,672535,R01BA03
24,672535,S01FB01
25,672535,S01GA05
26,1608477,B05CX01
27,1608477,V04CA02
28,1608477,V06DC01
29,1728785,N02AA01
30,636858,A06AB06
31,1294471,R05DA09
32,1294471,N02BE01
33,1294471,R05CA03
34,1294471,R01BA02
35,44151,L01BB06
36,1242611,D10AD04
37,1242611,D10BA01
38,848742,N05AX14
39,71517,N02AC04
40,2045129,V03AB38
41,352891,N03AB02
42,1112244,R06AX18
43,1112244,R01BA02
44,1005928,G03AD02
45,1005928,G03XB02
46,858812,C09AA02
47,994240,A02AC01
48,994240,A12AA04
49,1492742,L04AA32
50,11289,B01AA03
51,1547663,D07AC17
52,1547663,R01AD08
53,1547663,R03BA05
54,1547663,R01AD12
55,1547663,R03BA09
56,152056,D10AF07
57,152056,A01AB23
58,152056,J01AA08
59,1044936,P03AX05
60,203240,N02AA01
61,861202,S01GA07
62,861202,S01EA05
63,861202,D11AX21
64,1996267,R07AX02
65,1996267,R07AX31
66,543974,D10AF07
67,543974,A01AB23
68,543974,J01AA08
69,213564,A07EA04
70,213564,C05AA05
71,213564,D07AC01
72,213564,D07XC01
73,213564,H02AB01
74,213564,R01AD06
75,213564,R03BA04
76,213564,S01BA06
77,213564,S01CB04
78,213564,S02BA07
79,213564,S03BA03
80,1743938,C01CA04
81,1600773,N04BA01
82,236594,A01AB04
83,236594,A07AA07
84,236594,G01AA03
85,236594,J02AA01
86,1721314,D01AC15
87,1721314,J02AC01
88,732498,C09XA02
89,409388,P03AX05
90,238090,N05CA01
91,1362935,B01AB01
92,1362935,C05BA03
93,1362935,S01XA14
94,175184,N02BE01
95,175184,D11AX26
96,175184,N06BC01
97,1011875,D10AB02
98,1011875,S01AB04
99,1011875,D10AF06
100,1043301,G01AD03
101,1043301,S01XA15
